2026-02-04T10:40:28 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:29 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:30 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:31 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:32 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:33 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:34 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:35 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:36 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:37 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:38 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:39 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:40 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:41 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:42 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:43 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:44 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:45 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:46 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:47 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:48 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:49 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:50 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:51 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:52 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:53 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:54 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:55 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:56 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:57 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:58 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:40:59 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:00 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:01 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:02 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:03 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:04 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:05 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:06 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:07 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:08 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:09 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:10 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:11 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:12 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:13 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:14 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:15 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:16 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:17 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:18 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
2026-02-04T10:41:19 STATUS TIMER ERROR: The expression after '&' in a pipeline element produced an object that was not valid. It must result in a command name, a script block, or a CommandInfo object.
